TXNAME	GENEID
ENST00000566069.5	ENSG00000083093.9
ENST00000568219.5	ENSG00000083093.9
ENST00000261584.8	ENSG00000083093.9
ENST00000565038.1	ENSG00000083093.9
ENST00000567003.1	ENSG00000083093.9
ENST00000561514.1	ENSG00000083093.9
ENST00000375712.4	ENSG00000101350.8
ENST00000649238.2	ENSG00000104826.14
ENST00000649284.1	ENSG00000104826.14
ENST00000592514.5	ENSG00000105364.13
ENST00000591054.5	ENSG00000105364.13
ENST00000307422.9	ENSG00000105364.13
ENST00000253099.10	ENSG00000105364.13
ENST00000590150.5	ENSG00000105364.13
ENST00000590669.5	ENSG00000105364.13
ENST00000393733.6	ENSG00000105364.13
ENST00000592071.1	ENSG00000105364.13
ENST00000588502.5	ENSG00000105364.13
ENST00000588963.1	ENSG00000105364.13
ENST00000590702.1	ENSG00000105364.13
ENST007	ENSG00777
ENST008	ENSG00888
ENST009	ENSG00999
ENST001	ENSG00123
